timestamp_ns,elapsed_realtime_ns,latitude,longitude,altitude,speed_mps,bearing_deg,accuracy_m,bearing_accuracy_deg
125265219501442,125265169249359,10.83039601,77.05287851,250.76605224609375,4.6,266.7,3.7900925,0.94773465
125266195336493,125266168952222,10.83039388,77.05283298,250.7625732421875,5.02,265.1,3.7900925,0.7353015
125267217298576,125267168595451,10.83039062,77.05278721,250.9268798828125,5.08,262.6,3.7900925,1.881557
125268197197795,125268169340555,10.83038414,77.05273935,251.156005859375,5.36,260.3,3.7900925,1.843579
125269194736024,125269168823315,10.83037779,77.05268929,251.39324951171875,5.45,259.9,3.7900925,1.8776639
125270201007013,125270169423575,10.83036937,77.05263583,251.66796875,5.89,258.6,3.7900925,1.9234867
125271186616283,125271169499564,10.83035773,77.05258256,252.0391845703125,5.97,257.5,3.7900925,1.9848858
125272197811335,125272169537115,10.83034767,77.05252514,252.1787109375,6.17,256.0,3.7900925,2.0575237
125273197054772,125273169083678,10.83033436,77.05246743,252.4617919921875,6.35,255.2,3.7900925,2.1408792
125274199359511,125274169432949,10.83032025,77.05240952,252.4573974609375,6.48,253.9,3.7900925,2.2311802
125275207028886,125275169358469,10.8303047,77.05235293,252.339111328125,6.66,253.7,3.7900925,2.3321562
125276202277010,125276169011281,10.83028966,77.05229255,252.4600830078125,6.77,253.2,3.7900925,2.431282
125277212398781,125277168754250,10.83027393,77.05223206,252.6444091796875,6.87,253.5,3.7900925,2.52626
125278200399197,125278169083833,10.83025821,77.05217011,252.997314453125,7.0,254.4,3.7900925,0.63323545
125279202028364,125279169290290,10.83024238,77.05210757,253.4736328125,7.04,253.9,3.7900925,0.89172167
125311138289025,125311096344025,10.82954036,77.05004665,265.1072998046875,9.94,256.1,4.10021,0.71399456
125312202035691,125312170211004,10.82955746,77.0498863,258.578857421875,10.31,261.6,3.7900925,5.002577
125313202580326,125313170091889,10.82954921,77.04979243,258.08697509765625,10.64,264.6,3.7900925,4.849446
125314196431836,125314169582982,10.82953857,77.04969373,258.4844970703125,11.22,269.7,3.7900925,0.4670884
125315195970794,125315170026315,10.82954534,77.04958679,259.1455078125,11.54,272.9,3.7900925,0.567389
125316199353190,125316170351991,10.82954693,77.04948267,259.802001953125,11.77,271.9,3.7900925,0.33845186
125317193550221,125317170438294,10.82955163,77.04937009,259.34130859375,11.98,272.4,3.7900925,0.2782466
125318202371262,125318169960012,10.8295571,77.04925935,259.09722900390625,12.01,272.9,3.7900925,0.33828425
125319210841835,125319170394439,10.82955892,77.04915469,258.95867919921875,11.82,270.8,3.7900925,0.40713567
125320199558553,125320169836626,10.82956191,77.04904963,257.7027587890625,11.5,272.3,3.7900925,0.36403134
125321213948917,125321170059906,10.82956288,77.04894588,257.98077392578125,11.29,270.6,3.7900925,1.0054835
125322196604750,125322170319333,10.82955997,77.0488434,257.61865234375,10.86,268.8,3.7900925,1.3696712
125323204447510,125323170552614,10.82955659,77.04874305,257.380615234375,10.51,268.2,3.7900925,0.79335356
125324209391312,125324169983656,10.82955205,77.04865506,256.74542236328125,10.02,266.7,3.7900925,1.4273024
125325216908968,125325170446779,10.82955159,77.0485577,256.21923828125,10.81,271.0,3.7900925,2.272409
125326204758134,125326169774645,10.82954564,77.04845599,255.2515869140625,11.05,267.9,3.7900925,0.3927283
