sensor_type,timestamp_ns,sensor_time_ns,val_x,val_y,val_z
GYRO,110031614316555,110031612213587,3.9947388E-4,0.0010652636,-0.0010652636
ACCEL,110031616747232,110031614720514,0.09756372,-0.11372458,9.6923275
GYRO,110031616934524,110031614720514,3.9947388E-4,0.0021305273,-0.0
ACCEL,110031619079784,110031617227441,0.10474633,-0.12090719,9.704298
GYRO,110031619175826,110031617227441,-6.6578976E-4,0.003195791,-0.0010652636
ACCEL,110031621784888,110031619734368,0.095169514,-0.094570965,9.706693
GYRO,110031621882805,110031619734368,3.9947388E-4,0.003195791,-0.0
ACCEL,110031624154576,110031622241295,0.090381116,-0.11133038,9.718663
GYRO,110031624243326,110031622241295,0.0014647375,0.003195791,-0.0
ACCEL,110031626683430,110031624748222,0.078410104,-0.11611878,9.723452
GYRO,110031626770878,110031624748222,-6.6578976E-4,0.0021305273,-0.0010652636
ACCEL,110031629405618,110031627255149,0.078410104,-0.11372458,9.735423
GYRO,110031629492493,110031627255149,3.9947388E-4,0.003195791,-0.0
ACCEL,110031631803013,110031629762076,0.08080431,-0.11372458,9.723452
GYRO,110031631898222,110031629762076,-6.6578976E-4,0.0021305273,-0.0
ACCEL,110031634380305,110031632269003,0.078410104,-0.089782566,9.723452
GYRO,110031634481347,110031632269003,-6.6578976E-4,0.0021305273,-0.0
ACCEL,110031636880566,110031634775931,0.06404489,-0.108936176,9.7162695
GYRO,110031637003118,110031634775931,-6.6578976E-4,0.0021305273,-0.0
ACCEL,110031639270305,110031637282858,0.06404489,-0.11133038,9.709086
GYRO,110031639370826,110031637282858,-6.6578976E-4,0.0010652636,-0.0021305273
ACCEL,110031641890722,110031639789785,0.0688333,-0.11851298,9.706693
GYRO,110031641975097,110031639789785,3.9947388E-4,0.0010652636,-0.0010652636
GYRO,110031644276920,110031642296712,3.9947388E-4,0.0010652636,-0.0010652636
ACCEL,110031644388638,110031642296712,0.08798691,-0.1328782,9.721058
ACCEL,110031646794211,110031644803639,0.08798691,-0.1376666,9.7162695
GYRO,110031646882961,110031644803639,3.9947388E-4,-0.0,-0.0
ACCEL,110031649686711,110031647310566,0.08559271,-0.12330139,9.718663
GYRO,110031649935149,110031647310566,3.9947388E-4,-0.0010652636,-0.0
ACCEL,110031652028118,110031649817493,0.08080431,-0.11133038,9.697116
GYRO,110031652494784,110031649817493,3.9947388E-4,-0.0010652636,0.0010652636
ACCEL,110031654468691,110031652324420,0.0688333,-0.11372458,9.706693
GYRO,110031654897128,110031652324420,0.0014647375,-0.0,0.0010652636
ACCEL,110031656943586,110031654831347,0.076015905,-0.12090719,9.706693
GYRO,110031657380409,110031654831347,3.9947388E-4,-0.0,-0.0010652636
GYRO,110031659384107,110031657338274,-6.6578976E-4,-0.0010652636,-0.0010652636
ACCEL,110031659993118,110031657338274,0.08798691,-0.12569559,9.694721
ACCEL,110031662236034,110031659845201,0.076015905,-0.1328782,9.694721
GYRO,110031662765930,110031659845201,-6.6578976E-4,-0.0010652636,-0.0010652636
ACCEL,110031664521243,110031662352128,0.076015905,-0.11611878,9.704298
GYRO,110031665158482,110031662352128,3.9947388E-4,-0.0010652636,-0.0
ACCEL,110031667083326,110031664859056,0.078410104,-0.09696517,9.7162695
GYRO,110031667497753,110031664859056,3.9947388E-4,0.0010652636,-0.0
ACCEL,110031669625878,110031667365983,0.073621705,-0.10654198,9.709086
GYRO,110031669882336,110031667365983,0.0014647375,-0.0,-0.0
ACCEL,110031672104055,110031669872910,0.073621705,-0.12330139,9.701904
GYRO,110031672321034,110031669872910,3.9947388E-4,-0.0,-0.0010652636
ACCEL,110031674501190,110031672379837,0.076015905,-0.130484,9.694721
GYRO,110031675054368,110031672379837,3.9947388E-4,-0.0,-0.0010652636
ACCEL,110031677109472,110031674886764,0.078410104,-0.12569559,9.704298
GYRO,110031677564315,110031674886764,0.0014647375,-0.0,-0.0010652636
ACCEL,110031679743065,110031677393691,0.08080431,-0.11372458,9.706693
GYRO,110031679965097,110031677393691,-6.6578976E-4,-0.0,-0.0
ACCEL,110031682173534,110031679900618,0.08559271,-0.11611878,9.7162695
GYRO,110031682418795,110031679900618,-6.6578976E-4,-0.0,-0.0010652636
ACCEL,110031684734784,110031682407545,0.08319851,-0.12569559,9.718663
GYRO,110031685030826,110031682407545,-0.0017310535,-0.0,-0.0010652636
ACCEL,110031687174003,110031684914472,0.08798691,-0.130484,9.7162695
GYRO,110031687707440,110031684914472,-6.6578976E-4,-0.0,-0.0010652636
ACCEL,110031689707753,110031687421399,0.09756372,-0.12090719,9.7162695
GYRO,110031690167909,110031687421399,3.9947388E-4,-0.0010652636,-0.0021305273
ACCEL,110031692107388,110031689928326,0.08319851,-0.11611878,9.706693
GYRO,110031692516347,110031689928326,0.0014647375,-0.0021305273,-0.0010652636
ACCEL,110031694524368,110031692435253,0.08080431,-0.11133038,9.697116
GYRO,110031694964784,110031692435253,0.0014647375,-0.003195791,-0.0010652636
ACCEL,110031697154576,110031694942181,0.08798691,-0.10414778,9.69951
GYRO,110031697635826,110031694942181,0.0014647375,-0.003195791,-0.0
ACCEL,110031699619368,110031697449108,0.090381116,-0.10654198,9.670779
