timestamp_s,v_gt,h_gt,w_gnss,w_gyro_corr,w_snet,y_w_m030,nis_m030,actual_gate_applied,head_err_m028,head_err_m029,head_err_m030,pos_err_m030,w_gnss_degs,w_gyro_degs,w_snet_degs,y_w_degs
305.1,11.620835820895518,246.4041791044776,0.0005742602974647681,0.02205225747520237,-0.015151716768741608,-0.03720397424394398,11.540488178905674,ACCEPTED_INFLATED,18.247717453925617,54.01873046174893,25.733652581508608,114.60782674911886,0.032902691386658425,1.2635012820649165,-0.8681294232264913,-2.131630705291408
305.2,11.600908173562056,246.43471241170536,0.003025191807259908,0.007464096789674857,-0.023072145879268646,-0.030536242668943503,7.728310811598777,ACCEPTED_INFLATED,18.241825392378615,54.181677790462714,25.809314214888417,114.83159378092354,0.17333072277354675,0.4276612439255162,-1.3219365831922472,-1.7495978271177635
305.3,11.5787083753784,246.4750756811302,0.005476123317057713,-0.0865240044729709,-0.024029098451137543,0.06249490602183336,32.24467981380626,REJECTED_OUTLIER,17.88106437276093,54.41857191553845,26.317104104736984,115.03622907255892,0.31375875416058774,-4.957460282872289,-1.3767659267545247,3.580694356117765
305.4,11.556508577194755,246.515438950555,0.006873154277641902,-0.05656751107603521,-0.025754638016223907,0.0308128730598113,7.77717268023411,ACCEPTED_INFLATED,17.73953730026153,54.629324556420414,26.562697478581526,115.21434453563242,0.393802732051169,-3.2410796422163552,-1.475632061216813,1.7654475809995425
305.5,11.534308779011099,246.55580221997982,0.007044719483326745,0.010487355581152734,-0.017944268882274628,-0.02843162446342736,6.599999159531302,ACCEPTED_INFLATED,17.88041596982734,54.75358445723754,26.631212755302926,115.41723453224314,0.40363269424820436,0.6008812130530203,-1.0281308734022712,-1.6290120864552917
305.6,11.51210898082744,246.59616548940465,0.007044719483327633,-0.020199535654800316,-0.019102133810520172,0.0010974018442801436,0.00981923143114068,ACCEPTED_FULL,17.84935052158943,54.90977559421489,26.751559250655873,115.64567083550007,0.40363269424825526,-1.1573481411440838,-1.0944716470369589,0.06287649410712501
305.7,11.489909182643796,246.63652875882946,0.007044719483328521,-0.04908762530341511,-0.030023641884326935,0.019063983419088174,3.0430457377789843,ACCEPTED_FULL,17.702730822426872,55.138675560582016,26.726599595887876,115.90379950685548,0.40363269424830617,-2.8125137562052727,-1.7202279655841395,1.0922857906211332
305.8,11.46770938446014,246.67689202825431,0.007044719483327633,-0.0523753030488942,-0.040593408048152924,0.011781895000741276,1.183963463238636,ACCEPTED_FULL,17.548557818929396,55.420841201881245,26.864489187855867,116.12755467156073,0.40363269424825526,-3.0008838154203104,-2.325830957211551,0.675052858208759
305.9,11.445509586276495,246.71725529767912,0.006540288507102865,-0.10620080334575743,-0.04192767292261124,0.0642731304231462,35.70825231846405,REJECTED_OUTLIER,17.160970808966226,55.750528483493326,27.48004754770659,116.32096263146627,0.3747309282549121,-6.084857812610734,-2.4022787032705653,3.682579109340168
306.0,11.423309788092839,246.75761856710395,0.005504877555904564,-0.01641490291777914,-0.04735133796930313,-0.03093643505152399,8.203309480764071,ACCEPTED_INFLATED,17.20645293552937,56.03455752467798,27.651355616275225,116.52368932639581,0.3154062506896234,-0.9405046583057253,-2.7130318199386356,-1.7725271616329101
306.1,11.401109989909182,246.79798183652878,0.004442917605956609,-0.09423956406116415,-0.039473436772823334,0.05476612728834082,25.557339225861572,REJECTED_OUTLIER,16.828428807931857,56.347090986395614,28.21775728620804,116.72751461324748,0.2545604275456814,-5.399529283857459,-2.2616613299592814,3.137867953898177
306.2,11.345228628230632,246.80944333996024,0.0033809576560095422,-0.04320745921792005,-0.02516273409128189,0.018044725126638156,2.7516020045749543,ACCEPTED_FULL,16.735442846482783,56.51856274858258,28.195199025404293,117.00269350712588,0.19371460440179036,-2.4756050566704433,-1.441718464440407,1.0338865922300362
306.3,11.287574552683898,246.81938369781312,0.0023189977060624756,0.16728869096684293,-0.023459337651729584,-0.1907480286185725,312.37302564631386,REJECTED_OUTLIER,17.644547598646284,56.53011288004552,27.26025391900754,117.34048841812019,0.13286878125789928,9.584935952668399,-1.3441210376164487,-10.929056990284847
306.4,11.229920477137195,246.829324055666,0.001761468732341065,0.05486934662655287,-0.016383491456508636,-0.07125283808306151,43.22356253934751,REJECTED_OUTLIER,17.89769715284376,56.60025825748292,26.965670075781873,117.64171359903924,0.10092472410740227,3.143781986341861,-0.9387049141465869,-4.082486900488448
306.5,11.172266401590461,246.8392644135189,0.0017349197335931876,-0.18096115447114863,-0.033563561737537384,0.14739759273361125,183.4427635377029,REJECTED_OUTLIER,17.02902426200984,56.922983303121754,27.99763410194541,117.95965291059599,0.0994035785288508,-10.368310407011764,-1.923050432987668,8.445259974024095
306.6,11.114612326043726,246.84920477137177,0.0017349197335931876,-0.22490478084156557,-0.029854469001293182,0.19505031184027238,318.61173889312045,REJECTED_OUTLIER,16.199056528822496,57.22562875759067,29.235271529465678,118.24156079811148,0.0994035785288508,-12.886094734536442,-1.7105350733782452,11.175559661158196
306.7,11.056958250497026,246.85914512922466,0.0017349197335931876,-0.1900472565509103,-0.033705733716487885,0.1563415228344224,203.0562133737426,REJECTED_OUTLIER,15.77935793365458,57.49063300389699,30.23410546250159,118.48009564586307,0.0994035785288508,-10.888905708407146,-1.9311962873465547,8.957709421060592
306.8,10.999304174950291,246.86908548707754,0.0017349197335931876,0.12670202819904805,-0.01597438007593155,-0.1426764082749796,167.77346569149702,REJECTED_OUTLIER,16.683123179090558,57.465233153853234,29.507356480839576,118.89789008216289,0.0994035785288508,7.259491471552996,-0.9152645586887493,-8.174756030241745
306.9,10.94165009940359,246.87902584493042,0.0029674253007625495,0.08595361940072549,-0.020452655851840973,-0.10640627525256646,92.58922626121681,REJECTED_OUTLIER,17.092697554222127,57.5184858900505,29.051368540195426,119.34271549189941,0.17002094575403304,4.924779625535363,-1.1718508601440334,-6.0966304856793965
307.0,10.883996023856856,246.8889662027833,0.005584768583854149,-0.0873397208765619,-0.017001859843730927,0.07033786103283098,40.14721754277068,REJECTED_OUTLIER,16.720996130770743,57.67611177163485,29.54698436481604,119.72035857490185,0.3199836694120963,-5.0041973900776435,-0.9741348129187355,4.030062577158908
307.1,10.826341948310121,246.8989065606362,0.00835444401569685,-0.14994275546109137,0.0026556774973869324,0.1525984329584783,187.53028943995983,REJECTED_OUTLIER,16.32467429918387,57.751911447066675,30.34063163823143,120.09367658115805,0.4786743822777567,-8.591087056482712,0.15215911234813592,8.743246168830847
307.2,10.82529761904762,246.9794642857143,0.011124119447539549,-0.15149169797319206,-0.022514216601848602,0.12897748137134346,132.9765613618174,REJECTED_OUTLIER,16.059337138147043,58.00228779268403,31.160919758687953,120.31881759057295,0.6373650951434171,-8.679834925134474,-1.2899695903292951,7.389865334805178
307.3,10.83125,247.06875000000002,0.013893794879383137,-0.09255705672279062,-0.01601438969373703,0.07654266702905359,46.491295017859805,REJECTED_OUTLIER,16.036157202148843,58.186823059686304,31.671989624723437,120.56455574788424,0.7960558080091285,-5.3031287143688655,-0.9175569409289348,4.38557177343993
307.4,10.83720238095238,247.1580357142857,0.015430964744055586,-0.037664874237999836,-0.008909054100513458,0.028755820137486378,6.514213996862414,GYRO_FALLBACK,16.144522512216952,58.29065950192924,31.909406452312254,120.87744915109663,0.8841291536495557,-2.1580383297284134,-0.5104511994131411,1.647587130315272
307.5,10.843154761904762,247.24732142857144,0.015583296892805798,-0.06795784834527793,-0.007991783320903778,0.059966065024374154,28.125315440511084,GYRO_FALLBACK,16.068009980902303,58.57141846828961,32.330496671707834,121.2394010975837,0.8928571428571018,-3.893697894974531,-0.4578954550708317,3.435802439903699
307.6,10.849107142857145,247.33660714285716,0.015583296892805798,-0.08082560406686977,-0.002833850681781769,0.077991753385088,47.23993089895197,REJECTED_OUTLIER,15.947550041379685,58.65301062800103,32.81935672779073,121.60961971197158,0.8928571428571018,-4.63096598962706,-0.16236768383636624,4.468598305790694
307.7,10.855059523809523,247.42589285714286,0.015583296892805798,0.019002397149510436,0.003587372601032257,-0.015415024548478179,1.8326512098558558,ACCEPTED_FULL,16.18076659754354,58.72394730090522,33.16396240692964,122.0564775292258,0.8928571428571018,1.088757157298374,0.20554130958001685,-0.8832158477183571
307.8,10.861011904761906,247.51517857142858,0.015583296892805798,0.07321320788762083,0.0037366822361946106,-0.06947652565142622,38.98771702092453,REJECTED_OUTLIER,16.432402425650878,58.81146015816819,32.89295311954854,122.68490741419951,0.8928571428571018,4.194807816574582,0.21409612151545782,-3.980711695059125
307.9,10.866964285714284,247.60446428571427,0.015729134201177608,0.02064835095852685,0.0024362578988075256,-0.018212093059719325,2.659160228007109,ACCEPTED_FULL,16.36419044113282,58.90211949727933,33.285163024749295,123.18110419248029,0.9012130051223545,1.1830633638284964,0.1395872954070812,-1.0434760684214153
308.0,10.872916666666667,247.69375,0.01605501756926664,0.06344795235493457,-0.00421915203332901,-0.06766710438826358,37.911579069289544,REJECTED_OUTLIER,16.41454059334555,59.02508791307747,33.08703511517919,123.81368332975165,0.9198847467273642,3.6352998886848833,-0.2417396046337919,-3.877039493318675
308.1,10.878869047619048,247.78303571428572,0.016415109688701968,0.03980330450421776,-0.0119328573346138,-0.05173616183883156,21.989803060243926,REJECTED_OUTLIER,16.35236717234929,59.18608229897049,33.00627002644998,124.36903229082088,0.9405165054069293,2.2805613587657376,-0.6837023628050996,-2.9642637215708367
