timestamp_s,east_m,north_m,speed_mps,bearing_deg,accuracy_m
75.11,-294.9747834925047,167.86979211633306,8.27,331.6,3.7900925
76.127,-299.16131214461706,175.4050084482115,8.38,330.6,3.7900925
77.124,-303.7392686515944,182.01961259108046,8.15,330.1,3.7900925
78.093,-307.7027490287354,188.89025156275954,7.83,329.8,3.7900925
79.121,-310.9730303568529,195.64623145901345,7.61,327.3,3.7900925
80.119,-316.21466482076676,202.31538215247352,7.97,325.2,3.7900925
81.123,-320.8297960386165,208.45353887464785,7.48,322.4,3.7900925
82.107,-325.30825552364036,213.72451676390924,6.91,316.4,3.7900925
83.125,-330.40228451042697,216.67225688003703,6.44,309.8,3.7900925
84.1,-336.6104614987531,219.5109038953367,6.69,290.8,3.7900925
85.117,-342.7781836534728,221.91985767606153,6.87,286.1,3.7900925
86.123,-349.1099118920348,223.8657223751601,6.61,282.2,3.7900925
87.109,-355.1037875961012,225.74702176949904,7.12,278.7,3.7900925
88.111,-362.25445288473026,226.92700837204148,7.05,277.4,3.7900925
89.108,-368.7917354154493,228.01459979701596,6.1,278.3,3.7900925
90.111,-373.9393397239963,228.72927092788086,4.76,277.4,3.7900925
91.12,-378.02637135276416,229.28475518689805,3.45,276.4,3.7900925
92.12,-381.7504028454367,229.54079001570818,3.02,271.5,3.7900925
93.1,-385.2568529338977,229.84135264076383,3.34,274.1,3.7900925
94.109,-388.99619166274994,230.0328221649914,4.04,270.2,3.7900925
95.128,-393.50307886654355,230.10629302889387,4.6,266.7,3.7900925
96.104,-398.48121022048855,229.86918251374922,5.02,265.1,3.7900925
97.126,-403.48558254795967,229.50628097345412,5.08,262.6,3.7900925
98.106,-408.7184700211618,228.78493067314352,5.36,260.3,3.7900925
99.103,-414.19189975075875,228.07805190674992,5.45,259.9,3.7900925
100.109,-420.0370766057716,227.14074179412626,5.89,258.6,3.7900925
101.095,-425.86147935523604,225.84498292131002,5.97,257.5,3.7900925
102.106,-432.13963227342856,224.72510884395575,6.17,256.0,3.7900925
103.105,-438.4494930359069,223.24344642150908,6.35,255.2,3.7900925
104.108,-444.7812212730779,221.67272840639427,6.48,253.9,3.7900925
105.115,-450.9686241586377,219.94171032458314,6.66,253.7,3.7900925
106.111,-457.5704157484634,218.2674651830603,6.77,253.2,3.7900925
107.121,-464.1842344545169,216.5164095929121,6.87,253.5,3.7900925
108.109,-470.9576857469703,214.76646719761254,7.0,254.4,3.7900925
109.11,-477.79564609992144,213.00427965844725,7.04,253.9,3.7900925
141.047,-703.1312593281002,134.85577073161966,9.94,256.1,4.10021
142.11,-720.6635097704047,136.75933402434694,10.31,261.6,3.7900925
143.111,-730.9270105446041,135.8409482252117,10.64,264.6,3.7900925
144.105,-741.7186109092761,134.65650884327485,11.22,269.7,3.7900925
145.104,-753.4111513659365,135.41014179578823,11.54,272.9,3.7900925
146.108,-764.7953603843614,135.5871397860988,11.77,271.9,3.7900925
147.102,-777.1045637202747,136.1103413929132,11.98,272.4,3.7900925
148.111,-789.2125862573004,136.71925900767283,12.01,272.9,3.7900925
149.119,-800.6558374668543,136.92186048091753,11.82,270.8,3.7900925
150.108,-812.1428236299668,137.25470575835297,11.5,272.3,3.7900925
151.122,-823.4865778133941,137.36268566433247,11.29,270.6,3.7900925
152.105,-834.691473513188,137.03874594621695,10.86,268.8,3.7900925
153.113,-845.6634805725905,136.66248606720754,10.51,268.2,3.7900925
154.118,-855.2840774940107,136.15709557903295,10.02,266.7,3.7900925
155.125,-865.929165756264,136.10588861334173,10.81,271.0,3.7900925
156.113,-877.049871666111,135.44353764301664,11.05,267.9,3.7900925
157.118,-888.4854692568796,135.85096697938022,11.48,268.4,3.7900925
158.123,-900.0533650899868,135.211993102115,11.64,266.8,3.7900925
159.104,-911.5326976357047,134.7700547236744,11.7,265.6,3.7900925
160.099,-923.0798193660455,133.72142512052542,11.49,265.1,3.7900925
161.098,-934.041986058637,132.77632264360747,11.14,262.6,3.7900925
162.112,-944.5318152291507,131.3770366443832,10.81,262.6,3.7900925
163.105,-955.405418637135,129.05825165117508,10.63,259.7,3.7900925
164.114,-964.9068378043706,126.03481428127056,10.06,260.6,3.7900925
165.102,-974.1042990266401,123.82957516863902,9.44,259.3,3.7900925
166.117,-983.6133718112701,121.4462248706713,9.28,260.8,3.7900925
167.119,-993.069962648848,119.9456381349132,9.78,264.1,3.7900925
168.096,-1002.960622924314,119.37011636738195,9.91,267.7,3.7900925
169.101,-1012.4314276205813,119.73635749222285,9.69,274.8,3.7900925
172.103,-1042.8731436671642,124.24257047942265,10.39,279.7,3.7900925
173.103,-1052.3505086088994,126.08268166223893,9.61,282.2,3.7900925
174.107,-1063.0185577247269,128.773273754708,10.87,286.6,3.7900925
175.104,-1073.3870223916392,131.31247133980062,10.69,284.3,3.7900925
